CODIGO;MUNICIPIO;MUNICIPALES_PRIMERA;PARTICULARES_PRIMERA;SUBVENCIONADOS_PRIMERA;450_MUNICIPALES;450_PARTICULARES;450_SUBVENCIONADOS
13604;PADRE HURTADO;62;62;549;18;58;308
13605;PEÑAFLOR;63;55;547;17;45;283
14101;VALDIVIA;784;160;822;431;153;593
14102;CORRAL;33;0;0;15;0;0
14103;LANCO;97;0;65;49;0;23
14104;LOS LAGOS;121;0;0;61;0;0
14105;MÁFIL;18;0;51;3;0;18
14106;MARIQUINA;20;0;135;7;0;103
14107;PAILLACO;174;0;53;100;0;13
14108;PANGUIPULLI;185;0;218;128;0;71
14201;LA UNIÓN;216;23;246;156;23;121
14202;FUTRONO;56;0;124;21;0;65
14203;LAGO RANCO;66;0;0;36;0;0
14204;RÍO BUENO;116;0;109;57;0;82
15101;ARICA;813;110;1436;383;101;893
15102;CAMARONES;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
15201;PUTRE;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
15202;GENERAL LAGOS;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado;No Recepcionado
16101;CHILLÁN;677;43;1863;300;40;1376
16102;BULNES;108;0;124;55;0;96
16103;CHILLÁN VIEJO;7;0;101;1;0;61
16104;EL CARMEN;120;0;0;64;0;0
16105;PEMUCO;38;0;1;17;0;0
16106;PINTO;38;0;41;19;0;20
16107;QUILLÓN;55;0;46;17;0;36
16108;SAN IGNACIO;63;0;45;26;0;22
16109;YUNGAY;103;0;113;36;0;92
16201;QUIRIHUE;83;0;21;51;0;19
16202;COBQUECURA;17;0;0;2;0;0
16203;COELEMU;141;0;32;66;0;26
16204;NINHUE;20;0;0;14;0;0
16205;PORTEZUELO;9;0;10;5;0;5
16206;RÁNQUIL;32;0;0;16;0;0
16207;TREHUACO;49;0;0;22;0;0
16301;SAN CARLOS;156;0;395;62;0;297
16302;COIHUECO;66;0;63;32;0;36
16303;ÑIQUÉN;44;0;0;15;0;0
16304;SAN FABIÁN;40;0;0;23;0;0
16305;SAN NICOLÁS;250;0;0;223;0;0
